Document Title,Reason for exclusion
Techniques and algorithms for computer aided diagnosis of pigmented skin lesions—A review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Cancer diagnosis using deep learning: A bibliographic review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A Survey of Feature Extraction in Dermoscopy Image Analysis of Skin Cancer,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Dermoscopy Image Analysis: Overview and Future Directions,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial Intelligence-Based Image Classification for Diagnosis of Skin Cancer: Challenges and Opportunities,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial intelligence-based image classification methods for diagnosis of skin cancer: Challenges and opportunities,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A survey on U-shaped networks in medical image segmentations,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
What is AI? Applications of artificial intelligence to dermatology,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
"Recent advancement in cancer detection using machine learning: Systematic survey of decades, comparisons and challenges",Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial Intelligence in Dermatology: A Primer,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
"Machine Learning in Dermatology: Current Applications, Opportunities, and Limitations",Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Hyperspectral and multispectral imaging in digital and computational pathology: A systematic review [Invited],Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Machine learning and its application in skin cancer,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Lack of Transparency and Potential Bias in Artificial Intelligence Data Sets and Algorithms: A Scoping Review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Skin disease diagnosis with deep learning: A review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Skin cancer classification via convolutional neural networks: systematic review of studies involving human experts,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Machine learning and deep learning methods for skin lesion classification and diagnosis: A systematic review,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Skin cancer detection: A review using deep learning techniques,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Deep learning techniques for skin lesion analysis and melanoma cancer detection: a survey of state-of-the-art,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Cutaneous Malignant Melanoma: A Review of Early Diagnosis and Management,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
A scoping review of transfer learning research on medical image analysis using ImageNet,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
Artificial Intelligence in Dermatology: Challenges and Perspectives,Excluded: Did not meet study design inclusion criteria (Secondary literature / Review article).
