Document Title,DOI,PDF Link,Authors,"Publication
Year","Article Citation
Count",Abstract,Main_Objective,RQ1_Datasets,RQ1_Image_Count,RQ1_Class_Balance,RQ2_Preprocessing,RQ2_Augmentation,RQ3_RQ4_Seg_Scope,RQ5_RQ6_Class_Scope,RQ7_Model_Architecture,RQ7_Novelty,RQ7_Transfer_Learning,RQ8_Metrics_Used,RQ8_Best_Result,RQ8_SOTA_Compare,RQ9_Limitations,RQ10_Future_Work
"Deep learning, sparse coding, and SVM for melanoma recognition in dermoscopy images",10.1007/978-3-319-24888-2_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952004763&doi=10.1007%2f978-3-319-24888-2_15&partnerID=40&md5=d52d50bdaf11bfed899c165192f9f4d8,Codella N.; Cai J.; Abedini M.; Garnavi R.; Halpern A.; Smith J.R.,2015,314.0,"This work presents an approach for melanoma recognition in dermoscopy images that combines deep learning, sparse coding, and support vector machine (SVM) learning algorithms. One of the beneficial aspects of the proposed approach is that unsupervised learning within the domain, and feature transfer from the domain of natural photographs, eliminates the need of annotated data in the target task to learn good features. The applied feature transfer also allows the system to draw analogies between observations in dermoscopic images and observations in the natural world, mimicking the process clinical experts themselves employ to describe patterns in skin lesions. To evaluate the methodology, performance is measured on a dataset obtained from the International Skin Imaging Collaboration, containing 2624 clinical cases of melanoma (334), atypical nevi (144), and benign lesions (2146). The approach is compared to the prior state-of-art method on this dataset. Two-fold cross-validation is performed 20 times for evaluation (40 total experiments), and two discrimination tasks are examined: 1) melanoma vs. all non-melanoma lesions, and 2) melanoma vs. atypical lesions only. The presented approach achieves an accuracy of 93.1% (94.9% sensitivity, and 92.8% specificity) for the first task, and 73.9% accuracy (73.8% sensitivity, and 74.3% specificity) for the second task. In comparison, prior state-of-art ensemble modeling approaches alone yield 91.2% accuracy (93.0% sensitivity, and 91.0% specificity) first the first task, and 71.5% accuracy (72.7% sensitivity, and 68.9% specificity) for the second. Differences in performance were statistically significant (p < 0.05), suggesting the proposed approach is an effective improvement over prior state-of-art. © Springer International Publishing Switzerland 2015.",Classification (Melanoma Recognition),ISIC ,"2624 (334 melanoma, 144 atypical nevi, 2,146 benign lesions)",No,Resizing and subtracting the average training image,No reported,No,Both; Binary (Melanoma vs. Non-Melanoma) and Multi-class (Melanoma vs. Atypical vs. Benign),CNN (CaffeNet/AlexNet variant),"Ensemble (combined deep learning, sparse coding, and SVMs)",No,"Accuracy, Specificity, Sensitivity",Accuracy: 0.912,Yes,High intra-class variability and inter-class similarity; scarcity of large-scale annotated datasets,Improving attribute detection and exploring the use of non-dermoscopic images for larger datasets
Melanoma detection by analysis of clinical images using convolutional neural network,10.1109/EMBC.2016.7590963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009062852&doi=10.1109%2fEMBC.2016.7590963&partnerID=40&md5=c59b4095dde8011b7c90ff20d7785557,Nasr-Esfahani E.; Samavi S.; Karimi N.; Soroushmehr S.M.R.; Jafari M.H.; Ward K.; Najarian K.,2016,310.0,"Melanoma, most threatening type of skin cancer, is on the rise. In this paper an implementation of a deep-learning system on a computer server, equipped with graphic processing unit (GPU), is proposed for detection of melanoma lesions. Clinical (non-dermoscopic) images are used in the proposed system, which could assist a dermatologist in early diagnosis of this type of skin cancer. In the proposed system, input clinical images, which could contain illumination and noise effects, are preprocessed in order to reduce such artifacts. Afterward, the enhanced images are fed to a pre-trained convolutional neural network (CNN) which is a member of deep learning models. The CNN classifier, which is trained by large number of training samples, distinguishes between melanoma and benign cases. Experimental results show that the proposed method is superior in terms of diagnostic accuracy in comparison with the state-of-the-art methods. © 2016 IEEE.",Classification (Melanoma Detection),Custom dataset,170,No,"Illumination correction, Gaussian filtering for noise reduction, and resizing",Rotation and cropping,No,Binary (Melanoma vs. Benign),CNN (custom architecture with two convolutional and two fully connected layers),New Architecture (custom CNN designed for clinical image analysis),No,"Accuracy, Specificity, Sensitivity, PPV, NPV",Accuracy: 0.81,Yes,No reported,No reported
Deep features to classify skin lesions,10.1109/ISBI.2016.7493528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978426890&doi=10.1109%2fISBI.2016.7493528&partnerID=40&md5=2e09abee7749829a9c8fa9d438471afb,Kawahara J.; Bentaieb A.; Hamarneh G.,2016,281.0,"Diagnosing an unknown skin lesion is the first step to determine appropriate treatment. We demonstrate that a linear classifier, trained on features extracted from a convolutional neural network pretrained on natural images, distinguishes among up to ten skin lesions with a higher accuracy than previously published state-of-the-art results on the same dataset. Further, in contrast to competing works, our approach requires no lesion segmentations nor complex preprocessing. We gain consistent additional improvements to accuracy using a per image normalization, a fully convolutional network to extract multi-scale features, and by pooling over an augmented feature space. Compared to state-of-the-art, our proposed approach achieves a favourable accuracy of 85.8% over 5-classes (compared to 75.1%) with noticeable improvements in accuracy for underrepresented classes (e.g., 60% compared to 15.6%). Over the entire 10-class dataset of 1300 images captured from a standard (non-dermoscopic) camera, our method achieves an accuracy of 81.8% outperforming the 67% accuracy previously reported. © 2016 IEEE.",Classification,Dermofit,1300,No (Uses random split into approximately equal sets with same class distribution),Resizing and per-image-mean normalization,"Rotation (0, 90, 270 degrees) and left-right flip",No,Both (Binary: Cancer vs. Benign; Multi-class: 5-class and 10-class tasks),AlexNet (converted to fully-convolutional),good generalization,Yes (ImageNet),Accuracy,Accuracy: 81.8% (10-class),Yes,It is not obvious if filters learned on natural images generalize well to skin images (though experiments confirmed they do),No reported
Automatic Skin Lesion Segmentation Using Deep Fully Convolutional Networks with Jaccard Distance,10.1109/TMI.2017.2695227,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027980102&doi=10.1109%2fTMI.2017.2695227&partnerID=40&md5=9a387f4da29843912d3c1fdf3dd378d7,Yuan Y.; Chao M.; Lo Y.-C.,2017,570.0,"Automatic skin lesion segmentation in dermoscopic images is a challenging task due to the low contrast between lesion and the surrounding skin, the irregular and fuzzy lesion borders, the existence of various artifacts, and various imaging acquisition conditions. In this paper, we present a fully automatic method for skin lesion segmentation by leveraging 19-layer deep convolutional neural networks that is trained end-to-end and does not rely on prior knowledge of the data. We propose a set of strategies to ensure effective and efficient learning with limited training data. Furthermore, we design a novel loss function based on Jaccard distance to eliminate the need of sample re-weighting, a typical procedure when using cross entropy as the loss function for image segmentation due to the strong imbalance between the number of foreground and background pixels. We evaluated the effectiveness, efficiency, as well as the generalization capability of the proposed framework on two publicly available databases. One is from ISBI 2016 skin lesion analysis towards melanoma detection challenge, and the other is the PH2 database. Experimental results showed that the proposed method outperformed other state-of-the-art algorithms on these two databases. Our method is general enough and only needs minimum pre- and post-processing, which allows its adoption in a variety of medical image segmentation tasks. © 1982-2012 IEEE.",Segmentation (Automatic Skin Lesion Segmentation In Dermoscopic Images),ISBI 2016; PH2,1100 (900 from ISBI 2016 + 200 from PH2),No (Uses a Jaccard distance-based loss function to eliminate the need for sample re-weighting),Resizing and pixel-wise mean subtraction,Random rotation and horizontal/vertical flipping,Lesion Boundary,No,19-layer Deep Fully Convolutional Network (FCN) based on VGG16,New Architecture (FCN with Jaccard distance loss),Yes (Pre-trained on ImageNet),"Jaccard Index (JA), Dice Coefficient (DI), Accuracy (AC), Sensitivity (SE), and Specificity (SP)",Accuracy: 0.955; DI: 91.2% (on ISBI 2016); JA: 84.7% (on PH2),Yes,High computational cost for high-resolution images and challenges with extremely low-contrast lesions,Exploring deeper architectures and multi-scale feature fusion to improve boundary precision
Handles imbalance via a multi-stage approach where later stages refine boundaries from coarse initial masks,10.1109/TBME.2017.2712771,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029520723&doi=10.1109%2fTBME.2017.2712771&partnerID=40&md5=1f39bc63b8b71f511f085e68ba5ebc09,Bi L.; Kim J.; Ahn E.; Kumar A.; Fulham M.; Feng D.,2017,302.0,"Objective: Segmentation of skin lesions is an important step in the automated computer aided diagnosis of melanoma. However, existing segmentation methods have a tendency to over- or under-segment the lesions and perform poorly when the lesions have fuzzy boundaries, low contrast with the background, inhomogeneous textures, or contain artifacts. Furthermore, the performance of these methods are heavily reliant on the appropriate tuning of a large number of parameters as well as the use of effective preprocessing techniques, such as illumination correction and hair removal. Methods: We propose to leverage fully convolutional networks (FCNs) to automatically segment the skin lesions. FCNs are a neural network architecture that achieves object detection by hierarchically combining low-level appearance information with high-level semantic information. We address the issue of FCN producing coarse segmentation boundaries for challenging skin lesions (e.g., those with fuzzy boundaries and/or low difference in the textures between the foreground and the background) through a multistage segmentation approach in which multiple FCNs learn complementary visual characteristics of different skin lesions; early stage FCNs learn coarse appearance and localization information while late-stage FCNs learn the subtle characteristics of the lesion boundaries. We also introduce a new parallel integration method to combine the complementary information derived from individual segmentation stages to achieve a final segmentation result that has accurate localization and well-defined lesion boundaries, even for the most challenging skin lesions. Results: We achieved an average Dice coefficient of 91.18% on the ISBI 2016 Skin Lesion Challenge dataset and 90.66% on the PH2 dataset. Conclusion and Significance: Our extensive experimental results on two well-established public benchmark datasets demonstrate that our method is more effective than other state-of-the-art methods for skin lesion segmentation. © 1964-2012 IEEE.",Segmentation (Segmentation Of Skin Lesions In Dermoscopic Images),ISBI 2016; PH2,1100 (900 from ISBI 2016 + 200 from PH2),No (Handles imbalance via a multi-stage approach where later stages refine boundaries from coarse initial masks),illumination correction and hair removal.,random crops and flips,Lesion Boundary,No,Fully Convolutional Networks (FCNs) based on ResNet-101,New Architecture (Multi-stage FCN with Parallel Integration),No,"Accuracy (AC), Dice Coefficient (DI), Jaccard Index (JA), Sensitivity (SE), Specificity (SP)",Accuracy: 95.51% (ISBI); Accuracy 94.24 (PH2),"Yes (Compared against FCN-8s, U-Net, and ISBI 2016 challenge winners)",No reported,"adaptions of our method to other datasets and as well as
potential clinical applications"
Deep learning ensembles for melanoma recognition in dermoscopy images,10.1147/JRD.2017.2708299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023165265&doi=10.1147%2fJRD.2017.2708299&partnerID=40&md5=661bf18ce62a4adb6f193b7b7aa8c200,Codella N.C.F.; Nguyen Q.-B.; Pankanti S.; Gutman D.A.; Helba B.; Halpern A.C.; Smith J.R.,2017,511.0,"Melanoma is the deadliest form of skin cancer. While curable with early detection, only highly trained specialists are capable of accurately recognizing the disease. As expertise is in limited supply, automated systems capable of identifying disease could save lives, reduce unnecessary biopsies, and reduce costs. Toward this goal, we propose a system that combines recent developments in deep learning with established machine learning approaches, creating ensembles of methods that are capable of segmenting skin lesions, as well as analyzing the detected area and surrounding tissue for melanoma detection. The system is evaluated using the largest publicly available benchmark dataset of dermoscopic images, containing 900 training and 379 testing images. New state-of-the-art performance levels are demonstrated, leading to an improvement in the area under receiver operating characteristic curve of 7.5% (0.843 versus 0.783), in average precision of 4% (0.649 versus 0.624), and in specificity measured at the clinically relevant 95% sensitivity operating point 2.9 times higher than the previous state of the art (36.8% specificity compared to 12.5%). Compared to the average of eight expert dermatologists on a subset of 100 test images, the proposed system produces a higher accuracy (76% versus 70.5%), and specificity (62% versus 59%) evaluated at an equivalent sensitivity (82%). © 2017 IBM.",Segmentation (Melanoma Detection In Dermoscopy Images),ISBI 2016 (ISIC Archive),"1,279 (900 training, 379 testing)",No (Imbalanced),"RGB and HSV color channel extraction, Resizing (128x128), Normalization (zero mean, unit variance)","Rotation, Flip, Rescale, Shift, Crop, Nonlinear distortions (sinusoidal remapping)",Lesion Boundary,Binary (Melanoma vs. Non-melanoma),"U-Net, Caffe CNN, DRN-101","Ensemble (Fusion of deep learning, sparse coding, and hand-coded features)",Yes [ImageNet],"Jaccard (JACC), Accuracy (ACC), Sensitivity (SENS), Specificity (SPEC), Average Precision (AP), AUC, SP95","AUC: 0.843, AP: 0.649",Yes,"Lack of statistical significance tests due to fixed dataset partitions; diagnostic comparisons with clinical experts lack real-world situational context (e.g., patient history)",Learn joint pattern-disease classification models; utilize patient metadata and temporal evolution; apply non-linear image warping for classification
Skin lesion classification from dermoscopic images using deep learning techniques,10.2316/P.2017.852-053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019000072&doi=10.2316%2fP.2017.852-053&partnerID=40&md5=13a0452369523c3de298ded873fbd691,Romero Lopez A.; Giro-I-Nieto X.; Burdick J.; Marques O.,2017,316.0,"The recent emergence of deep learning methods for medical image analysis has enabled the development of intelligent medical imaging-based diagnosis systems that can assist the human expert in making better decisions about a patients health. In this paper we focus on the problem of skin lesion classification, particularly early melanoma detection, and present a deep-learning based approach to solve the problem of classifying a dermoscopic image containing a skin lesion as malignant or benign. The proposed solution is built around the VGGNet convolutional neural network architecture and uses the transfer learning paradigm. Experimental results are encouraging: on the ISIC Archive dataset, the proposed method achieves a sensitivity value of 78.66%, which is significantly higher than the current state of the art on that dataset. © 2017 International Association of Science and Technology for Development - IASTED.",Classification,ISIC,496 (346 training and 150 testing),No (Undersampling was used to create a balanced dataset of 173 training and 75 testing images per class),"Normalizing pixel values to [0,1] range, square cropping, and resizing to 224x224 pixels","Size re-scaling, rotation, horizontal shift, zooming, and horizontal flipping",No,Binary (Malignant vs. Benign),VGG16,Transfer Learning,Yes (ImageNet),"Accuracy, Sensitivity, Precision, Specificity",Accuracy: 81.33%; Sensitivity: 78.66%,Yes,Overfitting due to small dataset size and dependency on ImageNet features potentially unrelated to medical tasks,"Using larger datasets, hyperparameter fine-tuning, and pre-training on skin-related datasets like Dermnet"
Deep Bayesian active learning with image data,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048415204&partnerID=40&md5=9fa550dcc3c43748ce6d5eaacaf6e546,Gal Y.; Islam R.; Ghahramani Z.,2017,449.0,"Even though active learning forms an important pillar of machine learning, deep learning tools are not prevalent within it. Deep learning poses several difficulties when used in an active learning setting. First, active learning (AL) methods generally rely on being able to learn and update models from small amounts of data. Recent advances in deep learning, on the other hand, are notorious for their dependence on large amounts of data. Second, many AL acquisition functions rely on model uncertainty, yet deep learning methods rarely represent such model uncertainty. In this paper we combine recent advances in Bayesian deep learning into the active learning framework in a practical way. We develop an active learning framework for high dimensional data, a task which has been extremely challenging so far, with very sparse existing literature. Taking advantage of specialised models such as Bayesian convolu-tional neural networks, we demonstrate our active learning techniques with image data, obtaining a significant improvement on existing active learning approaches. We demonstrate this on both the MNIST dataset, as well as for skin cancer diagnosis from lesion images (ISIC2016 task). Copyright 2017 by the authors.",Classification,ISIC 2016 (Part 3B),900,"No (727 Benign, 173 Malignant)",Not reported,Vertical/Horizontal Flipping (positive examples),,Binary (Malignant vs. Benign),VGG16 (Bayesian CNN),Deep Bayesian Active Learning Framework,Yes (ImageNet),AUC,AUC: ~0.76 (Active Learning with BALD),Yes,Prolonged training times due to model resetting; Variation Ratios acquisition function failed on this dataset,Reduce computational cost by updating model without resetting; avoid local optima
"Image Classification of Melanoma, Nevus and Seborrheic Keratosis by Deep Neural Network Ensemble",https://doi.org/10.48550/arXiv.1703.03108,https://arxiv.org/abs/1703.03108,"Kazuhisa Matsunaga, Akira Hamada, Akane Minagawa, Hiroshi Koga",2017,228.0,This short paper reports the method and the evaluation results of Casio and Shinshu University joint team for the ISBI Challenge 2017 - Skin Lesion Analysis Towards Melanoma Detection - Part 3: Lesion Classification hosted by ISIC. Our online validation score was 0.958 with melanoma classifier AUC 0.924 and seborrheic keratosis classifier AUC 0.993.,Classification,ISIC 2017,Not informed,No (Used external data from ISIC Archive to increase sample size)),"Luminance and color balance normalization (Shades of Gray), Resizing (224x224 or 299x299)","Random cropping, flipping",No,"Both (Ternary: Melanoma, Nevus, Seborrheic Keratosis; implemented via two binary classifiers)","Ensemble of CNNs (ResNet-50, Inception-v3, VGG-16)",Ensemble of fine-tuned existing architectures,No,Area Under the ROC Curve (AUC),Mean AUC: 0.874,Yes (Ranked in ISBI 2017 Challenge),No reported,No reported
Automatic Skin Lesion Analysis using Large-scale Dermoscopy Images and Deep Residual Networks,https://doi.org/10.48550/arXiv.1703.04197,https://arxiv.org/abs/1703.04197,"Lei Bi, Jinman Kim, Euijoon Ahn, Dagan Feng",2017,304.0,"Malignant melanoma has one of the most rapidly increasing incidences in the world and has a considerable mortality rate. Early diagnosis is particularly important since melanoma can be cured with prompt excision. Dermoscopy images play an important role in the non-invasive early detection of melanoma [1]. However, melanoma detection using human vision alone can be subjective, inaccurate and poorly reproducible even among experienced dermatologists. This is attributed to the challenges in interpreting images with diverse characteristics including lesions of varying sizes and shapes, lesions that may have fuzzy boundaries, different skin colors and the presence of hair [2]. Therefore, the automatic analysis of dermoscopy images is a valuable aid for clinical decision making and for image-based diagnosis to identify diseases such as melanoma [1-4]. Deep residual networks (ResNets) has achieved state-of-the-art results in image classification and detection related problems [5-8]. In this ISIC 2017 skin lesion analysis challenge [9], we propose to exploit the deep ResNets for robust visual features learning and representations.",Classification,ISIC 2017,~9800 (Seg); ~3600 (Class),No,"Downscaling (500px Seg, 224px Class)","Random crops, Flips (Training); Multi-scale, Flips (Testing)",Lesion Boundary,"Both (Binary: Mel vs Rest, SK vs Rest; Multi-class: Mel, SK, Nevus)",ResNet, Ensemble / Multi-scale integration,Yes (ImageNet),"Jaccard Index, AUC","Jaccard: 79.40%, Avg AUC: 91.50%",Yes,Small validation set (150 images); Ground truth not public at time of writing,No reported
