Document Title,QUADAS_Patient_Selection,QUADAS_Index_Test,QUADAS_Reference_Standard,QUADAS_Flow_and_Timing
"Deep learning, sparse coding, and SVM for melanoma recognition in dermoscopy images",High Risk,Low Risk,Low Risk,Low Risk / Unclear
Melanoma detection by analysis of clinical images using convolutional neural network,Unclear,Unclear,Low Risk,Low Risk / Unclear
Deep features to classify skin lesions,Unclear,Unclear,Unclear,Low Risk / Unclear
Automatic Skin Lesion Segmentation Using Deep Fully Convolutional Networks with Jaccard Distance,High Risk,Unclear,Unclear,Low Risk / Unclear
Handles imbalance via a multi-stage approach where later stages refine boundaries from coarse initial masks,High Risk,Unclear,Unclear,Low Risk / Unclear
Deep learning ensembles for melanoma recognition in dermoscopy images,High Risk,High Risk,Low Risk,Low Risk / Unclear
Skin lesion classification from dermoscopic images using deep learning techniques,High Risk,High Risk,Low Risk,Low Risk / Unclear
Deep Bayesian active learning with image data,High Risk,Unclear,Unclear,Low Risk / Unclear
"Image Classification of Melanoma, Nevus and Seborrheic Keratosis by Deep Neural Network Ensemble",High Risk,Unclear,Unclear,Low Risk / Unclear
Automatic Skin Lesion Analysis using Large-scale Dermoscopy Images and Deep Residual Networks,High Risk,Unclear,Low Risk,Low Risk / Unclear
Nuclei Segmentation with Recurrent Residual Convolutional Neural Networks based U-Net (R2U-Net),Low Risk,Unclear,Low Risk,Low Risk / Unclear
Multimodal skin lesion classification using deep learning,Low Risk,Unclear,Low Risk,Low Risk / Unclear
Skin lesion classification with ensembles of deep convolutional neural networks,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin lesion segmentation in dermoscopy images via deep full resolution convolutional networks,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin Cancer Classification using Deep Learning and Transfer Learning (HAS ONLY THE ABSTRACT SECTION),High Risk,Unclear,Unclear,Low Risk / Unclear
Data augmentation for improving deep learning in image classification problem,High Risk,Unclear,Low Risk,Low Risk / Unclear
The skin cancer classification using deep convolutional neural network,Unclear,Unclear,Unclear,Low Risk / Unclear
"Skin lesion analysis toward melanoma detection: A challenge at the 2017 International symposium on biomedical imaging (ISBI), hosted by the international skin imaging collaboration (ISIC)",High Risk,Unclear,Unclear,High Risk
Skin lesion analysis towards melanoma detection using deep learning network,High Risk,High Risk,Low Risk,Low Risk / Unclear
Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Association between Surgical Skin Markings in Dermoscopic Images and Diagnostic Performance of a Deep Learning Convolutional Neural Network for Melanoma Recognition,Unclear,Unclear,High Risk,High Risk
Superior skin cancer classification by the combination of human and artificial intelligence,High Risk,Low Risk,Low Risk,Low Risk / Unclear
Bi-directional ConvLSTM U-net with densley connected convolutions,High Risk,Unclear,Unclear,Low Risk / Unclear
Systematic outperformance of 112 dermatologists in multiclass skin cancer image classification by convolutional neural networks,High Risk,Unclear,Low Risk,High Risk
Region Extraction and Classification of Skin Cancer: A Heterogeneous framework of Deep CNN Features Fusion and Reduction,High Risk,Unclear,Low Risk,Low Risk / Unclear
Skin lesion segmentation in dermoscopic images with combination of yolo and grabcut algorithm,High Risk,Unclear,Unclear,Low Risk / Unclear
Efficient skin lesion segmentation using separable-Unet with stochastic weight averaging,High Risk,High Risk,Low Risk,Low Risk / Unclear
Attention Residual Learning for Skin Lesion Classification,High Risk,Unclear,Unclear,Low Risk / Unclear
Automated deep learning design for medical image classification by health-care professionals with no coding experience: a feasibility study,High Risk,Unclear,Low Risk,Low Risk / Unclear
Deep neural networks are superior to dermatologists in melanoma image classification,High Risk,Low Risk,Low Risk,Low Risk / Unclear
Convolutional Neural Networks Using MobileNet for Skin Lesion Classification,High Risk,High Risk,Unclear,Low Risk / Unclear
A comparative study of deep learning architectures on melanoma detection,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin Lesion Classification Using Hybrid Deep Neural Networks,High Risk,Unclear,Unclear,Low Risk / Unclear
Improving Dermoscopic Image Segmentation With Enhanced Convolutional-Deconvolutional Networks,Unclear,Unclear,Unclear,Low Risk / Unclear
Melanoma lesion detection and segmentation using deep region based convolutional neural network and fuzzy C-means clustering,High Risk,Unclear,Low Risk,Low Risk / Unclear
Melanoma Recognition in Dermoscopy Images via Aggregated Deep Convolutional Features,Unclear,Unclear,Unclear,Low Risk / Unclear
Focusnet: An attention-based fully convolutional network for medical image segmentation,Unclear,Unclear,Unclear,Low Risk / Unclear
"Deep-learning-based, computer-aided classifier developed with a small dataset of clinical images surpasses board-certified dermatologists in skin tumour diagnosis",Unclear,Unclear,Low Risk,Low Risk / Unclear
Skin Lesion Classification Using Convolutional Neural Network with Novel Regularizer,High Risk,High Risk,Low Risk,Low Risk / Unclear
Step-wise integration of deep class-specific learning for dermoscopic image segmentation,High Risk,High Risk,Unclear,Low Risk / Unclear
Fusing fine-tuned deep features for skin lesion classification,High Risk,Unclear,Unclear,Low Risk / Unclear
Recurrent residual U-Net for medical image segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Transformation Consistent Self-ensembling Model for Semi-supervised Medical Image Segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Semi-Supervised Medical Image Classification With Relation-Driven Self-Ensembling Model,High Risk,Unclear,Low Risk,Low Risk / Unclear
A GAN-based image synthesis method for skin lesion classification,High Risk,Unclear,Low Risk,Low Risk / Unclear
Cpfnet: Context pyramid fusion network for medical image segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin disease detection and segmentation using dynamic graph cut algorithm and classification through Naive Bayes classifier,High Risk,Unclear,Unclear,Low Risk / Unclear
PAD-UFES-20: A skin lesion dataset composed of patient data and clinical images collected from smartphones,Low Risk,Unclear,Low Risk,Low Risk / Unclear
A multi-class skin Cancer classification using deep convolutional neural networks,High Risk,Unclear,Low Risk,Low Risk / Unclear
Transfer learning using a multi-scale and multi-network ensemble for skin lesion classification,High Risk,Unclear,Unclear,Low Risk / Unclear
Augmented Intelligence Dermatology: Deep Neural Networks Empower Medical Professionals in Diagnosing Skin Cancer and Predicting Treatment Options for 134 Skin Disorders,Low Risk,Unclear,Low Risk,High Risk
Human–computer collaboration for skin cancer recognition,High Risk,Unclear,Low Risk,Low Risk / Unclear
The development of a skin cancer classification system for pigmented skin lesions using deep learning,High Risk,Unclear,Low Risk,Low Risk / Unclear
Skin lesion segmentation via generative adversarial networks with dual discriminators,High Risk,Unclear,Unclear,Low Risk / Unclear
A Mutual Bootstrapping Model for Automated Skin Lesion Segmentation and Classification,High Risk,Unclear,Unclear,Low Risk / Unclear
Multiple skin lesions diagnostics via integrated deep convolutional networks for segmentation and classification,High Risk,Low Risk,Low Risk,Low Risk / Unclear
Dense-unet: A novel multiphoton in vivo cellular image segmentation model based on a convolutional neural network,Unclear,Unclear,Low Risk,Low Risk / Unclear
A deep learning system for differential diagnosis of skin diseases,Unclear,Unclear,Low Risk,Low Risk / Unclear
DSNet: Automatic dermoscopic skin lesion segmentation,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin lesion segmentation using high-resolution convolutional neural network,High Risk,Unclear,Unclear,Low Risk / Unclear
Melanoma and nevus skin lesion classification using handcraft and deep learning feature fusion via mutual information measures,High Risk,Unclear,Unclear,Low Risk / Unclear
Multi-class multi-level classification algorithm for skin lesions classification using machine learning techniques,Unclear,Unclear,Unclear,Low Risk / Unclear
Skin Lesion Classification Using CNNs with Patch-Based Attention and Diagnosis-Guided Loss Weighting,High Risk,Unclear,Unclear,Low Risk / Unclear
Skin Lesions Classification into Eight Classes for ISIC 2019 Using Deep Convolutional Neural Network and Transfer Learning,High Risk,Unclear,Low Risk,Low Risk / Unclear
The impact of patient clinical information on automated skin cancer detection,Low Risk,Unclear,Unclear,High Risk
Automatic Skin Cancer Detection in Dermoscopy Images Based on Ensemble Lightweight Deep Learning Network,Unclear,Unclear,Unclear,Low Risk / Unclear
Skin Lesion Segmentation in Dermoscopic Images with Ensemble Deep Learning Methods,High Risk,Unclear,Low Risk,Low Risk / Unclear
